Date, Symbol, Series, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
27-Mar-20, TCS, EQ,1820.0,1850.0,1750.4,1850.0,1824.5,4331310,77825.1
26-Mar-20, TCS, EQ,1831.6,1832.05,1722.55,1785.0,1790.95,4556071,81261.72
25-Mar-20, TCS, EQ,1700.0,1810.0,1680.0,1732.0,1750.3,2765527,47987.7
24-Mar-20, TCS, EQ,1653.05,1770.0,1632.85,1699.95,1703.15,6354209,109098.1
23-Mar-20, TCS, EQ,1620.0,1750.0,1617.75,1631.0,1669.7,7003558,118193.98
20-Mar-20, TCS, EQ,1630.0,1869.0,1627.0,1792.95,1797.45,8547645,152791.38
19-Mar-20, TCS, EQ,1559.7,1685.45,1546.75,1636.0,1636.35,5135162,83308.41
18-Mar-20, TCS, EQ,1676.8,1713.55,1627.75,1670.0,1654.4,7259111,121038.89
17-Mar-20, TCS, EQ,1730.0,1731.0,1623.15,1632.0,1658.0,5713269,96439.08
16-Mar-20, TCS, EQ,1755.0,1842.25,1675.85,1684.5,1696.4,7844420,138067.9
13-Mar-20, TCS, EQ,1687.9,1820.0,1506.05,1820.0,1806.3,8029725,139441.92
12-Mar-20, TCS, EQ,1904.0,1908.4,1758.35,1772.9,1769.85,8728972,158439.99
11-Mar-20, TCS, EQ,1933.0,1987.3,1920.0,1952.75,1953.7,6796752,133174.85
9-Mar-20, TCS, EQ,2075.0,2079.9,1935.0,1981.0,1972.35,4940982,98290.12
6-Mar-20, TCS, EQ,2098.0,2123.65,2071.6,2115.4,2116.45,2595027,54443.09
5-Mar-20, TCS, EQ,2085.7,2147.75,2084.05,2129.0,2125.05,3937056,83526.24
4-Mar-20, TCS, EQ,2056.0,2094.45,2025.0,2082.1,2083.2,3237002,66662.8
3-Mar-20, TCS, EQ,2020.0,2060.0,2012.0,2041.0,2036.2,2757585,56083.39
2-Mar-20, TCS, EQ,2035.0,2053.95,1985.7,2000.0,2001.3,2667076,54301.29
